ID,loan_purpose,borrower_employment_length,borrower_age,borrower_home_ownership,borrower_income,loan_rating,loan_amount,loan_rate,loan_status,loan_to_income_percent,cb_person_default_on_file,cb_person_cred_hist_length,rem_term
11732,EDUCATION,8,23,MORTGAGE,75000,D,3000,14.11,0,0.04,N,3,36
11733,MEDICAL,4,23,MORTGAGE,75000,C,16800,13.47,0,0.22,N,4,36
11734,VENTURE,9,25,MORTGAGE,75000,C,5000,13.79,0,0.07,Y,4,36
11735,PERSONAL,5,23,RENT,80000,A,10000,8.49,0,0.13,N,2,36
11736,DEBTCONSOLIDATION,7,22,MORTGAGE,75000,B,8000,12.21,0,0.11,N,2,36
11737,PERSONAL,6,22,RENT,80000,A,10000,8.49,0,0.13,N,4,60
11738,DEBTCONSOLIDATION,8,24,MORTGAGE,75000,B,15000,12.21,0,0.2,N,3,36
11739,EDUCATION,2,26,RENT,80000,A,10000,8.49,0,0.13,N,4,36
11740,MEDICAL,0,25,RENT,80000,B,10000,10.37,0,0.13,N,2,36
11741,HOMEIMPROVEMENT,1,24,RENT,74000,D,10000,14.54,1,0.14,N,2,36
11742,VENTURE,3,25,RENT,80000,B,10000,11.12,0,0.13,N,3,36
11743,EDUCATION,6,22,OWN,75000,A,4800,8,0,0.06,N,2,36
11744,PERSONAL,1,26,RENT,80000,C,10000,12.73,0,0.13,Y,4,36
11745,EDUCATION,7,23,OWN,75000,B,15000,11.14,0,0.2,N,4,60
11746,EDUCATION,1,24,MORTGAGE,69000,B,4900,10.96,1,0.07,N,2,36
11747,VENTURE,9,25,MORTGAGE,75000,D,7500,12.61,0,0.1,Y,4,36
11748,EDUCATION,0,23,MORTGAGE,75000,A,6000,8,0,0.08,N,2,36
11749,VENTURE,3,25,RENT,74000,F,10000,18.43,1,0.14,Y,3,60
11750,VENTURE,5,24,RENT,80000,B,10000,11.14,0,0.13,N,4,36
11751,VENTURE,2,23,MORTGAGE,75000,E,19600,15.13,0,0.26,N,3,36
11752,MEDICAL,0,23,MORTGAGE,75000,C,9500,15.28,0,0.13,Y,4,36
11753,PERSONAL,9,25,MORTGAGE,75000,C,10000,11.34,0,0.13,Y,2,36
11754,HOMEIMPROVEMENT,4,26,MORTGAGE,69000,B,25000,10.75,1,0.36,N,3,36
11755,EDUCATION,3,24,RENT,80004,A,10000,6.62,0,0.12,N,2,36
11756,HOMEIMPROVEMENT,3,24,RENT,80004,A,10000,7.9,0,0.12,N,4,36
11757,EDUCATION,5,25,RENT,80004,B,10000,9.62,0,0.12,N,4,36
11758,PERSONAL,0,23,MORTGAGE,69000,B,2500,9.64,1,0.04,N,3,36
11759,EDUCATION,7,23,OWN,75000,D,12000,12.49,0,0.16,N,4,36
11760,PERSONAL,3,23,RENT,80038,B,10000,10.59,0,0.12,N,2,60
11761,MEDICAL,9,25,MORTGAGE,75181,A,6000,7.51,0,0.08,N,4,60
11762,EDUCATION,5,24,OWN,75200,A,6500,7.14,0,0.09,N,2,36
11763,VENTURE,4,24,OWN,75360,A,7000,7.49,0,0.09,N,3,36
11764,MEDICAL,5,26,RENT,81996,A,10000,7.29,0,0.12,N,4,36
11765,EDUCATION,0,24,RENT,82632,B,10000,12.21,0,0.12,N,4,60
11766,VENTURE,6,22,MORTGAGE,75500,A,12000,10.62,0,0.16,N,4,36
11767,EDUCATION,9,25,MORTGAGE,75500,B,7000,11.36,0,0.09,N,2,60
11768,PERSONAL,7,23,RENT,82650,B,10000,12.21,0,0.12,N,3,36
11769,MEDICAL,4,26,MORTGAGE,75555,B,10000,10.39,0,0.13,N,2,60
11770,DEBTCONSOLIDATION,4,24,RENT,82800,B,10000,10.59,0,0.12,N,3,60
11771,PERSONAL,6,22,MORTGAGE,75600,A,10675,6.62,0,0.14,N,3,60
11772,VENTURE,5,24,MORTGAGE,75600,A,7200,5.99,0,0.1,N,2,60
11773,MEDICAL,7,25,MORTGAGE,75600,C,15000,12.68,0,0.2,N,2,60
11774,MEDICAL,3,23,RENT,83000,A,10000,6.54,0,0.12,N,3,60
11775,EDUCATION,3,22,MORTGAGE,75600,A,10000,8.9,0,0.13,N,4,36
11776,EDUCATION,3,22,RENT,83200,D,10000,16.29,0,0.12,N,4,36
11777,PERSONAL,2,25,MORTGAGE,75600,A,14500,9.63,0,0.19,N,4,36
11778,DEBTCONSOLIDATION,7,23,MORTGAGE,75689,B,25000,11.12,0,0.33,N,4,36
11779,PERSONAL,2,24,MORTGAGE,75744,B,15000,10.38,0,0.2,N,2,60
11780,VENTURE,6,22,MORTGAGE,75744,B,6700,11.83,0,0.09,N,2,36
11781,DEBTCONSOLIDATION,3,25,RENT,84000,C,10000,6.76,0,0.12,Y,4,36
11782,HOMEIMPROVEMENT,5,25,RENT,84000,C,10000,13.49,0,0.12,N,2,36
11783,DEBTCONSOLIDATION,7,23,RENT,84000,A,10000,5.99,0,0.12,N,2,36
11784,VENTURE,1,23,RENT,84000,A,10000,7.49,0,0.12,N,4,36
11785,PERSONAL,6,26,MORTGAGE,75873,B,1200,10.25,0,0.02,N,2,60
11786,MEDICAL,7,23,MORTGAGE,75885,C,3000,11.03,0,0.04,Y,4,36
11787,HOMEIMPROVEMENT,9,25,MORTGAGE,75912,B,22400,9.99,0,0.3,N,4,36
11788,DEBTCONSOLIDATION,9,25,MORTGAGE,75996,B,10000,11.99,0,0.13,N,3,60
11789,MEDICAL,2,26,OWN,59497,E,7000,17.88,1,0.1,N,2,36
11790,MEDICAL,7,23,MORTGAGE,75996,B,15000,10.62,0,0.2,N,2,60
11791,MEDICAL,9,25,MORTGAGE,75996,A,9000,7.74,0,0.12,N,3,36
11792,VENTURE,7,26,OWN,75996,B,8000,11.83,0,0.11,N,3,36
11793,HOMEIMPROVEMENT,0,23,RENT,78996,C,10000,13.99,1,0.13,Y,3,36
11794,HOMEIMPROVEMENT,3,24,RENT,84996,D,10000,15.21,0,0.12,N,4,60
11795,MEDICAL,6,21,MORTGAGE,76000,B,14000,12.69,0,0.18,N,3,60
11796,MEDICAL,7,23,MORTGAGE,76000,B,3600,10.65,0,0.05,N,3,36
11797,DEBTCONSOLIDATION,8,24,MORTGAGE,76000,A,6000,8.9,0,0.08,N,3,60
11798,PERSONAL,8,24,MORTGAGE,76000,A,12000,6.03,0,0.16,N,2,60
11799,PERSONAL,0,22,RENT,73000,D,10000,18.25,1,0.14,Y,2,36
11800,VENTURE,7,24,MORTGAGE,76000,A,13500,8.49,0,0.18,N,4,36
11801,DEBTCONSOLIDATION,8,24,MORTGAGE,76000,B,13500,9.99,0,0.18,N,3,60
11802,HOMEIMPROVEMENT,10,26,MORTGAGE,76000,A,5425,8.49,0,0.07,N,3,36
11803,VENTURE,5,22,MORTGAGE,76000,B,24000,10.99,0,0.32,N,2,60
11804,DEBTCONSOLIDATION,0,22,RENT,85000,A,10000,7.66,0,0.12,N,3,36
11805,EDUCATION,0,22,MORTGAGE,76000,B,15000,10.99,0,0.2,N,3,36
11806,DEBTCONSOLIDATION,9,24,MORTGAGE,76000,B,20050,10.59,0,0.26,N,2,60
11807,PERSONAL,8,24,RENT,85000,B,10000,10.37,0,0.12,N,4,36
11808,DEBTCONSOLIDATION,5,23,RENT,85000,A,10000,6.17,0,0.12,N,4,36
11809,HOMEIMPROVEMENT,3,26,RENT,85000,A,10000,12.8,0,0.12,N,2,60
11810,PERSONAL,6,24,RENT,85000,C,10000,13.72,0,0.12,Y,2,36
11811,HOMEIMPROVEMENT,4,25,MORTGAGE,76000,A,14000,7.66,0,0.18,N,3,36
11812,PERSONAL,9,25,MORTGAGE,76000,C,6000,12.98,0,0.08,Y,2,36
11813,PERSONAL,3,25,MORTGAGE,76000,A,20000,6.54,0,0.26,N,4,36
11814,PERSONAL,8,24,RENT,85000,E,10000,16,0,0.12,Y,3,36
11815,EDUCATION,0,23,RENT,73000,D,10000,14.11,1,0.14,N,3,36
11816,MEDICAL,7,23,RENT,85000,B,10000,11.89,0,0.12,N,4,60
11817,DEBTCONSOLIDATION,7,23,MORTGAGE,76000,A,20000,9.32,0,0.26,N,4,36
11818,EDUCATION,0,26,RENT,85500,A,10000,7.14,0,0.12,N,2,36
11819,EDUCATION,4,26,RENT,86000,C,10000,13.49,0,0.12,N,3,60
11820,HOMEIMPROVEMENT,10,25,RENT,86000,D,10000,7.88,0,0.12,N,2,60
11821,EDUCATION,4,22,RENT,87000,B,10000,11.26,0,0.11,N,3,36
11822,EDUCATION,3,23,OWN,76000,B,18000,10.99,0,0.24,N,2,36
11823,DEBTCONSOLIDATION,1,24,RENT,75996,E,10000,16,1,0.13,N,2,36
11824,VENTURE,10,26,RENT,88000,B,10000,12.69,0,0.11,N,2,36
11825,MEDICAL,1,23,MORTGAGE,59500,B,20000,11.83,1,0.29,N,4,60
11826,DEBTCONSOLIDATION,1,22,MORTGAGE,70000,C,25000,13.79,1,0.36,N,3,36
11827,EDUCATION,7,23,RENT,90000,B,10000,12.69,0,0.11,N,4,36
11828,PERSONAL,4,25,MORTGAGE,70000,C,15000,13.16,1,0.21,Y,3,36
11829,DEBTCONSOLIDATION,0,24,RENT,90000,A,10000,6.76,0,0.11,N,2,36
11830,MEDICAL,9,25,MORTGAGE,59623,B,3400,16.77,1,0.05,N,2,60
11831,EDUCATION,10,26,MORTGAGE,76160,A,7400,7.51,0,0.1,N,2,60
11832,DEBTCONSOLIDATION,9,25,MORTGAGE,76209,C,3000,13.49,0,0.04,Y,4,36
11833,DEBTCONSOLIDATION,9,25,RENT,90000,B,10000,12.42,0,0.11,N,2,36
11834,PERSONAL,5,25,RENT,90000,A,10000,7.49,0,0.11,N,2,36
11835,VENTURE,6,22,MORTGAGE,76296,A,18000,7.88,0,0.24,N,3,60
11836,HOMEIMPROVEMENT,9,25,MORTGAGE,76300,B,3000,11.86,0,0.04,N,2,36
11837,DEBTCONSOLIDATION,0,23,RENT,90000,A,10000,7.49,0,0.11,N,3,60
11838,MEDICAL,6,22,MORTGAGE,59813,E,20000,17.74,1,0.28,N,3,36
11839,PERSONAL,2,26,RENT,90000,A,10000,7.49,0,0.11,N,4,36
11840,HOMEIMPROVEMENT,8,24,RENT,90000,B,10000,10.99,0,0.11,N,2,60
11841,HOMEIMPROVEMENT,4,26,MORTGAGE,76486,A,6000,7.9,0,0.08,N,4,36
11842,DEBTCONSOLIDATION,3,24,MORTGAGE,76494,A,12000,12.42,0,0.16,N,3,36
11843,PERSONAL,11,26,MORTGAGE,70500,A,14500,7.49,1,0.21,N,3,60
11844,DEBTCONSOLIDATION,2,21,RENT,78000,D,10000,15.57,1,0.13,Y,4,60
11845,EDUCATION,2,23,MORTGAGE,76500,A,4800,7.51,0,0.06,N,4,36
11846,DEBTCONSOLIDATION,2,22,MORTGAGE,76500,C,15000,7.51,0,0.2,Y,4,36
11847,VENTURE,4,23,RENT,90000,A,10000,7.51,0,0.11,N,2,36
11848,EDUCATION,2,26,MORTGAGE,76596,C,24000,12.73,0,0.31,Y,3,60
11849,HOMEIMPROVEMENT,8,24,RENT,90000,B,10000,11.89,0,0.11,N,4,60
11850,DEBTCONSOLIDATION,6,26,RENT,91000,C,10000,10.37,0,0.11,N,4,60
11851,VENTURE,1,25,MORTGAGE,76700,E,14800,19.42,0,0.19,Y,4,60
11852,EDUCATION,5,23,RENT,91000,B,10000,10.2,0,0.11,N,2,36
11853,DEBTCONSOLIDATION,3,22,MORTGAGE,76800,A,6000,6.62,0,0.08,N,4,36
11854,PERSONAL,4,22,MORTGAGE,76800,A,12000,8.9,0,0.16,N,2,60
11855,PERSONAL,2,26,MORTGAGE,76800,A,12800,6.92,0,0.17,N,4,36
11856,EDUCATION,8,25,MORTGAGE,76800,A,6500,5.79,0,0.08,N,4,36
11857,PERSONAL,5,25,MORTGAGE,76800,C,20000,17.14,0,0.26,Y,2,36
11858,PERSONAL,5,21,MORTGAGE,76800,D,8000,14.96,0,0.1,Y,3,36
11859,VENTURE,4,23,MORTGAGE,76800,A,10000,9.63,0,0.13,N,4,36
11860,VENTURE,7,23,RENT,92000,B,10000,11.71,0,0.11,N,4,36
11861,MEDICAL,0,22,MORTGAGE,76875,A,13750,13.23,0,0.18,N,4,36
11862,EDUCATION,8,23,MORTGAGE,76896,B,25000,11.71,0,0.33,N,2,60
11863,DEBTCONSOLIDATION,6,24,MORTGAGE,77000,B,12000,12.42,0,0.16,N,2,60
11864,VENTURE,4,26,RENT,92652,C,10000,13.23,0,0.11,Y,2,60
11865,EDUCATION,8,25,MORTGAGE,77000,A,12000,7.9,0,0.16,N,4,36
11866,MEDICAL,6,22,MORTGAGE,77000,A,12400,7.51,0,0.16,N,4,60
11867,EDUCATION,6,23,RENT,93000,C,10000,14.26,0,0.11,N,2,60
11868,HOMEIMPROVEMENT,8,25,MORTGAGE,77000,A,9000,6.03,0,0.12,N,3,36
11869,HOMEIMPROVEMENT,8,24,RENT,94000,E,10000,18.64,0,0.11,N,2,36
11870,DEBTCONSOLIDATION,10,26,MORTGAGE,71000,D,6000,15.62,1,0.08,N,4,36
11871,VENTURE,3,23,OWN,77000,A,3500,5.99,0,0.05,N,2,60
11872,DEBTCONSOLIDATION,9,25,MORTGAGE,77000,A,3000,7.49,0,0.04,N,3,36
11873,HOMEIMPROVEMENT,1,24,MORTGAGE,77000,B,4000,11.99,0,0.05,N,2,60
11874,MEDICAL,6,22,MORTGAGE,60350,D,35000,16.89,1,0.49,N,3,60
11875,MEDICAL,0,23,RENT,94000,B,10000,9.45,0,0.11,N,3,60
11876,EDUCATION,2,24,MORTGAGE,77000,B,3850,11.11,0,0.05,N,2,36
11877,MEDICAL,6,25,RENT,70550,E,10000,16.77,1,0.12,N,3,60
11878,PERSONAL,3,23,RENT,95000,A,10000,6.17,0,0.11,N,3,60
11879,DEBTCONSOLIDATION,8,24,RENT,95000,A,10000,10.99,0,0.11,N,2,60
11880,MEDICAL,3,25,RENT,44966,A,10025,5.42,0,0.22,N,4,60
11881,DEBTCONSOLIDATION,1,23,RENT,65400,C,10075,13.98,0,0.15,Y,2,36
11882,PERSONAL,0,26,RENT,29136,D,10100,13.55,1,0.35,Y,4,60
11883,DEBTCONSOLIDATION,6,22,MORTGAGE,71000,B,3200,10.25,1,0.05,N,3,36
11884,EDUCATION,7,23,MORTGAGE,77000,A,10000,7.88,0,0.13,N,4,36
11885,VENTURE,4,24,RENT,70000,C,10125,14.65,0,0.14,Y,3,36
11886,EDUCATION,6,25,MORTGAGE,77000,D,8000,15.33,0,0.1,N,2,36
11887,EDUCATION,5,22,MORTGAGE,77000,B,21000,11.48,0,0.27,N,3,60
11888,DEBTCONSOLIDATION,6,23,RENT,69000,B,10150,11.99,0,0.15,N,3,36
11889,MEDICAL,8,24,MORTGAGE,77000,A,14000,8.94,0,0.18,N,3,36
11890,VENTURE,4,20,MORTGAGE,77000,A,6000,8,0,0.08,N,2,36
11891,DEBTCONSOLIDATION,4,26,MORTGAGE,77000,C,5400,13.04,0,0.07,Y,3,36
11892,EDUCATION,6,24,MORTGAGE,71000,B,5000,10.39,1,0.07,N,2,36
11893,DEBTCONSOLIDATION,2,23,MORTGAGE,71000,E,20000,15.13,1,0.28,Y,2,60
11894,MEDICAL,3,26,RENT,40000,C,10200,6.03,0,0.26,N,3,36
11895,MEDICAL,0,26,MORTGAGE,77004,B,6000,11.99,0,0.08,N,4,60
11896,PERSONAL,9,25,MORTGAGE,77004,B,15000,9.63,0,0.19,N,2,36
11897,MEDICAL,6,23,MORTGAGE,77004,A,12000,5.79,0,0.16,N,3,36
11898,EDUCATION,4,24,RENT,42000,A,10200,7.49,0,0.24,N,4,36
11899,VENTURE,7,23,MORTGAGE,77004,A,6000,7.88,0,0.08,N,2,36
11900,DEBTCONSOLIDATION,8,24,MORTGAGE,71004,D,5000,14.96,1,0.07,Y,3,36
11901,DEBTCONSOLIDATION,1,25,MORTGAGE,71004,E,2400,17.04,1,0.03,N,3,36
11902,DEBTCONSOLIDATION,2,25,MORTGAGE,77004,C,16000,13.92,0,0.21,N,2,36
11903,EDUCATION,4,20,MORTGAGE,77052,B,24250,11.36,0,0.31,N,2,60
11904,DEBTCONSOLIDATION,1,25,MORTGAGE,77078,B,3425,12.18,0,0.04,N,2,36
11905,EDUCATION,6,22,RENT,50004,D,10200,15.21,0,0.2,N,4,36
11906,PERSONAL,0,23,RENT,55000,C,10200,12.73,0,0.19,Y,2,36
11907,MEDICAL,0,22,MORTGAGE,77237,A,5875,6.17,0,0.08,N,3,60
11908,MEDICAL,8,24,MORTGAGE,77237,A,15000,6.17,0,0.19,N,3,36
11909,DEBTCONSOLIDATION,1,23,RENT,85000,A,10200,15.31,0,0.12,N,3,36
11910,MEDICAL,6,22,RENT,90000,B,10200,11.71,0,0.11,N,3,36
11911,DEBTCONSOLIDATION,2,24,MORTGAGE,77350,C,4800,13.79,0,0.06,Y,4,36
11912,PERSONAL,1,24,RENT,100000,C,10200,12.99,0,0.1,Y,4,60
11913,EDUCATION,8,24,RENT,22000,A,11000,7.51,1,0.5,N,2,60
11914,DEBTCONSOLIDATION,9,26,RENT,27000,A,11000,8.9,1,0.41,N,3,36
11915,DEBTCONSOLIDATION,7,23,RENT,27000,A,11000,8.59,1,0.41,N,4,36
11916,MEDICAL,1,22,RENT,27300,B,11000,11.48,1,0.4,N,4,36
11917,MEDICAL,6,21,RENT,29000,C,11000,13.49,1,0.38,Y,2,60
11918,MEDICAL,5,21,RENT,29004,C,11000,14.22,1,0.38,N,2,60
11919,DEBTCONSOLIDATION,3,23,RENT,29472,C,11000,13.49,1,0.37,N,4,60
11920,HOMEIMPROVEMENT,2,25,RENT,30720,C,11000,13.72,1,0.36,N,2,36
11921,DEBTCONSOLIDATION,0,26,MORTGAGE,77604,C,6800,13.06,0,0.09,Y,4,36
11922,EDUCATION,4,23,RENT,32000,B,11000,9.91,1,0.34,N,3,36
11923,DEBTCONSOLIDATION,7,25,RENT,32000,A,11000,7.66,1,0.34,N,3,36
11924,EDUCATION,4,23,MORTGAGE,77705,E,4000,16.77,0,0.05,Y,4,60
11925,DEBTCONSOLIDATION,,23,MORTGAGE,77705,A,11700,6.17,0,0.15,N,3,60
11926,DEBTCONSOLIDATION,0,23,RENT,33000,A,11000,7.66,1,0.33,N,2,36
11927,PERSONAL,9,25,MORTGAGE,77800,B,30000,11.71,0,0.39,N,4,36
11928,EDUCATION,7,23,MORTGAGE,77927,C,15000,12.99,0,0.19,Y,4,36
11929,MEDICAL,7,23,RENT,33600,D,11000,15.65,1,0.33,Y,3,36
11930,PERSONAL,9,25,RENT,29000,A,11000,8.49,1,0.38,N,2,60
11931,VENTURE,0,24,MORTGAGE,78000,A,2300,13.57,0,0.03,N,4,36
11932,EDUCATION,7,23,MORTGAGE,78000,B,2400,12.42,0,0.03,N,2,36
11933,EDUCATION,8,24,MORTGAGE,72000,C,14000,14.65,1,0.19,Y,4,36
11934,DEBTCONSOLIDATION,9,25,MORTGAGE,72000,C,10000,14.27,1,0.14,N,3,36
11935,EDUCATION,0,24,RENT,29000,D,11000,15.05,1,0.38,Y,4,36
11936,HOMEIMPROVEMENT,6,24,OWN,78000,B,4500,12.69,0,0.06,N,3,36
11937,EDUCATION,0,23,RENT,57000,D,11050,14.74,1,0.19,N,4,60
11938,MEDICAL,0,23,MORTGAGE,78000,A,10000,6.62,0,0.13,N,2,36
11939,EDUCATION,9,25,MORTGAGE,78000,A,8000,7.9,0,0.1,N,4,36
11940,PERSONAL,1,22,RENT,30000,A,11100,6.62,1,0.37,N,4,36
11941,EDUCATION,5,23,MORTGAGE,78000,B,5000,11.71,0,0.06,N,2,60
11942,PERSONAL,7,26,MORTGAGE,78000,A,7200,6.62,0,0.09,N,2,36
11943,HOMEIMPROVEMENT,0,24,MORTGAGE,78000,A,5000,6.62,0,0.06,N,4,60
11944,DEBTCONSOLIDATION,3,24,MORTGAGE,78000,A,8500,7.51,0,0.11,N,4,36
11945,EDUCATION,2,22,MORTGAGE,78000,B,1750,10.65,0,0.02,N,4,36
11946,PERSONAL,1,22,MORTGAGE,72000,C,8500,15.96,1,0.12,N,2,36
11947,VENTURE,2,22,RENT,32244,B,11100,12.21,1,0.34,N,3,60
11948,DEBTCONSOLIDATION,2,25,RENT,45000,C,11100,13.11,0,0.25,N,2,60
11949,PERSONAL,4,23,MORTGAGE,78000,A,15000,8.49,0,0.19,N,2,36
11950,PERSONAL,0,22,RENT,62500,C,11100,7.9,0,0.18,Y,3,60
11951,MEDICAL,7,23,MORTGAGE,78000,B,25000,12.87,0,0.32,N,4,60
11952,HOMEIMPROVEMENT,7,26,MORTGAGE,78000,B,3000,11.49,0,0.04,N,2,36
11953,EDUCATION,10,26,MORTGAGE,78000,A,8325,6.99,0,0.11,N,4,36
11954,DEBTCONSOLIDATION,4,23,MORTGAGE,78000,C,6000,12.99,0,0.08,N,3,36
11955,MEDICAL,5,21,OWN,40000,A,12000,8.9,0,0.3,N,2,36
11956,PERSONAL,5,22,RENT,26000,D,11200,16.89,1,0.43,N,3,36
11957,MEDICAL,4,24,RENT,30852,A,11200,5.79,1,0.36,N,4,60
11958,EDUCATION,7,23,MORTGAGE,78000,C,4200,13.06,0,0.05,N,3,36
11959,DEBTCONSOLIDATION,3,24,MORTGAGE,78000,B,20000,10.37,0,0.26,N,2,60
11960,EDUCATION,9,25,MORTGAGE,78000,A,8000,5.79,0,0.1,N,2,36
11961,VENTURE,2,25,MORTGAGE,78000,B,6000,15.65,0,0.08,N,4,36
11962,EDUCATION,6,22,OWN,40000,D,5000,16.29,0,0.13,Y,4,36
11963,EDUCATION,7,23,MORTGAGE,78000,A,4600,7.66,0,0.06,N,2,60
11964,VENTURE,,24,OWN,40000,A,12000,6.03,0,0.3,N,4,60
11965,DEBTCONSOLIDATION,8,24,MORTGAGE,78000,A,3600,5.42,0,0.05,N,4,36
11966,EDUCATION,7,23,MORTGAGE,78000,A,12400,7.29,0,0.16,N,3,36
11967,MEDICAL,4,26,RENT,36000,A,11200,10.71,1,0.31,N,3,36
11968,PERSONAL,8,26,MORTGAGE,78000,C,12000,13.43,0,0.15,N,4,60
11969,VENTURE,2,25,RENT,30840,D,11200,17.27,1,0.36,N,4,36
11970,VENTURE,2,22,RENT,40000,A,11200,7.88,0,0.28,N,2,60
11971,MEDICAL,2,24,RENT,41600,B,11200,10.62,0,0.27,N,3,60
11972,EDUCATION,3,22,MORTGAGE,78000,A,12000,6.54,0,0.15,N,3,36
11973,VENTURE,5,21,RENT,42000,D,11200,16.77,0,0.27,N,4,60
11974,DEBTCONSOLIDATION,0,25,MORTGAGE,78000,A,10000,5.79,0,0.13,N,2,60
11975,VENTURE,2,23,MORTGAGE,78000,A,6000,6.91,0,0.08,N,4,36
11976,EDUCATION,6,22,RENT,42000,B,11200,11.89,0,0.27,N,4,60
11977,PERSONAL,4,26,MORTGAGE,78000,B,1750,10.36,0,0.02,N,2,60
11978,PERSONAL,2,23,RENT,45000,B,11200,10.59,0,0.25,N,2,36
11979,VENTURE,0,25,MORTGAGE,78000,A,14000,7.51,0,0.18,N,3,36
11980,VENTURE,6,23,MORTGAGE,72000,C,12000,13.61,1,0.17,Y,2,36
11981,MEDICAL,0,24,RENT,45000,C,11200,12.04,0,0.25,Y,3,36
11982,VENTURE,2,26,OWN,78000,C,2400,14.72,0,0.03,Y,3,36
11983,DEBTCONSOLIDATION,6,22,MORTGAGE,78000,A,15000,7.88,0,0.19,N,3,36
11984,VENTURE,0,23,MORTGAGE,78000,D,25000,15.58,0,0.32,Y,3,36
11985,DEBTCONSOLIDATION,4,25,MORTGAGE,78000,B,2400,11.86,0,0.03,N,4,36
11986,HOMEIMPROVEMENT,8,24,MORTGAGE,78000,B,9800,10.99,0,0.13,N,3,60
11987,EDUCATION,7,23,MORTGAGE,78000,B,1000,9.88,0,0.01,N,3,36
11988,VENTURE,0,24,RENT,50000,C,11200,13.85,0,0.22,Y,3,36
11989,EDUCATION,5,23,MORTGAGE,72000,F,19000,12.53,1,0.26,Y,2,36
11990,MEDICAL,,22,RENT,52000,A,11200,6.62,0,0.22,N,4,36
11991,EDUCATION,7,23,MORTGAGE,78000,A,6150,7.88,0,0.08,N,2,60
11992,EDUCATION,4,23,RENT,54000,C,11200,13.99,0,0.21,Y,2,60
11993,EDUCATION,6,22,MORTGAGE,78000,B,18000,10.99,0,0.23,N,3,36
11994,MEDICAL,6,22,MORTGAGE,78000,A,7750,7.51,0,0.1,N,4,36
11995,EDUCATION,6,22,MORTGAGE,78000,E,16000,16.45,0,0.21,Y,2,60
11996,EDUCATION,3,22,MORTGAGE,78000,E,16000,16.45,0,0.21,N,3,36
11997,PERSONAL,4,24,MORTGAGE,78000,A,14500,7.51,0,0.19,N,4,36
11998,EDUCATION,0,23,RENT,60000,C,11200,10.78,0,0.19,N,3,36
11999,EDUCATION,8,24,OWN,78000,B,25000,12.18,0,0.32,N,4,36
12000,PERSONAL,8,24,RENT,61000,B,11200,9.99,0,0.18,N,3,36
12001,PERSONAL,6,22,RENT,61200,A,11200,6.62,0,0.18,N,4,36
12002,PERSONAL,6,22,OWN,78000,A,4000,7.74,0,0.05,N,4,60
12003,HOMEIMPROVEMENT,9,25,MORTGAGE,78000,B,14200,11.48,0,0.18,N,3,60
12004,DEBTCONSOLIDATION,6,22,RENT,57800,C,11200,13.16,1,0.19,N,3,36
12005,DEBTCONSOLIDATION,5,24,MORTGAGE,78000,C,8000,13.22,0,0.1,N,2,60
12006,EDUCATION,1,23,MORTGAGE,78000,B,16000,11.89,0,0.21,N,3,60
12007,DEBTCONSOLIDATION,6,22,MORTGAGE,78000,B,9600,10.95,0,0.12,N,2,36
12008,MEDICAL,9,25,MORTGAGE,61200,D,20000,14.74,1,0.28,Y,2,36
12009,PERSONAL,4,25,RENT,68000,B,11200,11.99,0,0.16,N,2,36
12010,VENTURE,4,22,RENT,69700,B,11200,11.71,0,0.16,N,2,36
12011,VENTURE,8,24,RENT,71000,B,11200,11.36,0,0.16,N,3,36
12012,MEDICAL,9,24,MORTGAGE,61200,B,13500,10.83,1,0.19,N,2,60
12013,PERSONAL,4,22,OTHER,78000,B,5600,12.99,0,0.07,N,2,36
12014,PERSONAL,8,25,RENT,72000,B,11200,10.36,0,0.16,N,2,36
12015,HOMEIMPROVEMENT,0,25,MORTGAGE,78000,B,25000,9.64,0,0.32,N,4,60
12016,VENTURE,3,26,RENT,78402,B,11200,11.71,0,0.14,N,3,60
12017,HOMEIMPROVEMENT,0,25,RENT,80000,B,11200,8.88,0,0.14,N,3,36
12018,MEDICAL,9,25,MORTGAGE,78200,A,6000,6.54,0,0.08,N,3,36
12019,PERSONAL,9,25,RENT,82000,A,11200,5.42,0,0.14,N,4,36
12020,MEDICAL,0,23,MORTGAGE,61455,E,15000,16.82,1,0.21,N,3,60
12021,EDUCATION,2,24,RENT,86700,A,11200,11.83,0,0.13,N,4,60
12022,EDUCATION,3,24,OWN,78386,A,4000,5.42,0,0.05,N,3,60
12023,VENTURE,2,22,MORTGAGE,78400,D,5000,17.49,0,0.06,Y,3,36
12024,VENTURE,5,24,MORTGAGE,78400,C,17400,13.48,0,0.22,N,2,60
12025,EDUCATION,10,26,RENT,100016,C,11200,13.98,0,0.11,Y,2,60
12026,EDUCATION,6,22,MORTGAGE,78413,B,17500,10.65,0,0.22,N,2,36
12027,HOMEIMPROVEMENT,2,26,MORTGAGE,78420,B,8000,11.49,0,0.1,N,4,36
12028,VENTURE,8,24,MORTGAGE,78500,A,6000,7.49,0,0.08,N,4,36
12029,EDUCATION,7,23,MORTGAGE,78500,A,7200,7.49,0,0.09,N,3,60
12030,VENTURE,3,25,MORTGAGE,72500,D,16000,15.28,1,0.22,Y,4,60
12031,DEBTCONSOLIDATION,7,23,MORTGAGE,78500,A,4800,7.14,0,0.06,N,4,36
